National Provider Identifier,Last Name/Organization Name of the Provider,First Name of the Provider,Middle Initial of the Provider,Credentials of the Provider,Gender of the Provider,Entity Type of the Provider,Street Address 1 of the Provider,Street Address 2 of the Provider,City of the Provider,Zip Code of the Provider,State Code of the Provider,Country Code of the Provider,Provider Type,Medicare Participation Indicator,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Distinct Medicare Beneficiary/Per Day Services,Average Medicare Allowed Amount,Average Submitted Charge Amount,Average Medicare Payment Amount,Average Medicare Standardized Amount
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,17,17,17,165.96,179.8823529,130.11,117.34
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92012,"Eye and medical examination for diagnosis and treatment, established patient",N,462,230,462,95.96,96.91774892,65.66755411,59.16253247
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,278,267,278,138.66,147.9280576,96.03557554,86.37715827
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92060,Measurement of eye muscles to detect deviation of eyeball,N,42,41,42,68.85285714,78,53.98428571,49.16476191
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92083,Measurement of field of vision during daylight conditions,N,233,150,233,70.07450644,83.90987125,51.64137339,46.86077253
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92133,Diagnostic imaging of optic nerve of eye,N,174,136,174,46.47,61.87931035,33.13091954,31.21436782
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92134,Diagnostic imaging of retina,N,116,83,116,48.95637931,61.90517241,35.24422414,32.88741379
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92250,Photography of the retina,N,253,243,253,91.0773913,95.96047431,69.08573123,60.69936759
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92275,Recording of retinal electrical responses to external stimuli,N,161,123,161,170.81,191.8012422,128.5825466,114.2541615
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,92285,Photography of content of eyes,N,40,29,40,23.68175,31.9,16.68675,14.43675
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,95930,Measurement and recording of nerve conduction patterns using visually-evoked stimulation,N,109,86,109,152.38,161.7981651,118.6331193,101.9131193
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,11,11,11,118.95,122.9090909,50.86909091,46.54363636
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,34,22,34,48.47,51.85294118,32.35441177,29.12294118
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,148,94,148,80.53,85.91891892,56.70560811,52.02418919
1003021205,AMUNDSEN,DEAN,K,O.D.,M,I,2460 N PONDEROSA DR,SUITE A-101,CAMARILLO,930102398,CA,US,Optometry,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,48,47,48,118.3,122.9583333,80.24416667,72.929375
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,92002,"Eye and medical examination for diagnosis and treatment, new patient",N,11,11,11,84.47,103,53.60363636,51.58545455
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,35,35,35,154.22,189,101.7825714,98.72228571
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,92012,"Eye and medical examination for diagnosis and treatment, established patient",N,60,37,60,88.8,115,62.2315,60.05616667
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,53,51,53,128.56,156,87.99169811,85.18396226
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,92020,Examination of cornea and iris using lens device and slit lamp,N,23,23,23,27.63,35,19.77652174,19.21956522
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,92083,Measurement of field of vision during daylight conditions,N,13,12,13,67.5,120,52.92,50.81
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,92250,Photography of the retina,N,47,45,47,83.2,105,59.75638298,56.96085106
1003043860,NGUYEN,THANH-VI,L,O.D.,F,I,79710 HIGHWAY 111,SUITE 101,LA QUINTA,922536516,CA,US,Optometry,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,11,11,11,110.5245455,136,74.98,73.26363636
1003087693,MEEK,JERALD,B,O.D.,M,I,1034 VINE ST,,PASO ROBLES,934462528,CA,US,Optometry,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,59,59,59,125,125,71.39508475,91.80372881
1003087693,MEEK,JERALD,B,O.D.,M,I,1034 VINE ST,,PASO ROBLES,934462528,CA,US,Optometry,Y,O,92012,"Eye and medical examination for diagnosis and treatment, established patient",N,81,53,81,88.8,110,58.42654321,56.45419753
1003087693,MEEK,JERALD,B,O.D.,M,I,1034 VINE ST,,PASO ROBLES,934462528,CA,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,191,186,191,125,125,69.69256545,69.44675393
1003093188,GOLDMAN,RUTH,L,O.D.,F,I,24100 EL TORO RD,SUITE C,LAGUNA WOODS,92637,CA,US,Optometry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,17,17,17,78.94,120,54.60882353,50.77058824
1003171661,BORDER,DAVID,J,O.D.,M,I,1670 MITCHELL RD,,CERES,953072145,CA,US,Optometry,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,12,12,12,109,109,85.46,117.34
1003212663,NAKANO,GREYSON,,,M,I,5901 E 7TH ST,,LONG BEACH,908225201,CA,US,Optometry,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,11,11,11,110.93,113,65.73181818,65.27454546
1003816620,QUAN,VALERIE,,OD,F,I,795 E SECOND ST,SUITE 2,POMONA,917662007,CA,US,Optometry,Y,F,99204,"New patient office or other outpatient visit, typically 45 minutes",N,12,12,12,140.65,175.8333333,101.0808333,94.435
1003816620,QUAN,VALERIE,,OD,F,I,795 E SECOND ST,SUITE 2,POMONA,917662007,CA,US,Optometry,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,11,11,11,176.5345455,182,138.4054546,130.2436364
1003816620,QUAN,VALERIE,,OD,F,I,795 E SECOND ST,SUITE 2,POMONA,917662007,CA,US,Optometry,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,46,16,46,48.39,54,32.06934783,28.90543478
1003816620,QUAN,VALERIE,,OD,F,I,795 E SECOND ST,SUITE 2,POMONA,917662007,CA,US,Optometry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,27,20,27,80.62,99.11111111,60.86888889,55.40888889
1003816620,QUAN,VALERIE,,OD,F,I,795 E SECOND ST,SUITE 2,POMONA,917662007,CA,US,Optometry,Y,F,99221,"Initial hospital inpatient care, typically 30 minutes per day",N,31,30,31,109.33,148,85.71,80.28
1003843087,JANDA,RONALD,F,OD,M,I,1011 SYLVAN AVE,STE. A,MODESTO,953501692,CA,US,Optometry,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,26,26,26,121.1976923,121.5384615,79.60615385,102.6419231
1003843087,JANDA,RONALD,F,OD,M,I,1011 SYLVAN AVE,STE. A,MODESTO,953501692,CA,US,Optometry,Y,O,92012,"Eye and medical examination for diagnosis and treatment, established patient",N,30,30,30,53.16733333,53.33333333,37.989,64.11733333
1003843087,JANDA,RONALD,F,OD,M,I,1011 SYLVAN AVE,STE. A,MODESTO,953501692,CA,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,89,88,89,94.3594382,94.4494382,65.53348315,89.78078652
